Brand,Model Name,Screen Size,RAM,Storage,CPU,Operating System,Price,Rating,Review Count,Graphic Card Description
Lenovo,Lenovo ThinkPad,14.0,16,512,5,10,0,3.4,174,2
Dell,Latitude 3440,14.0,16,512,3,10,33290,4.5,2,2
HP,255 G9,15.6,8,512,3,1,24970,3.4,5,2
Apple,MacBook Air,13.0,8,256,1,2,67990,4.5,5022,2
Apple,MacBook Air,13.0,8,256,1,2,67990,4.5,5022,2
Lenovo,IdeaPad,14.0,8,0,3,10,34990,4.0,456,2
Lenovo,E14 Gen 5 AMD,14.0,8,512,5,10,47990,4.2,130,2
Primebook,Primebook 4G,11.6,4,64,1,1,13990,4.5,300,2
Lenovo,IdeaPad,15.0,8,512,3,10,34275,4.0,239,2
Lenovo,LOQ,15.6,16,512,5,10,71990,4.0,478,2
HP,255 G9,15.6,8,512,5,1,29880,4.2,18,2
Lenovo,G3,14.0,16,512,5,10,37150,3.5,19,2
acer,Aspire Lite,15.6,16,0,5,10,33490,3.8,122,2
acer,Aspire 3,15.6,8,0,1,10,23990,3.3,218,2
Lenovo,V14,14.0,8,512,3,10,25830,4.0,2,2
HP,HP Laptop,15.6,16,512,5,10,55990,3.7,65,2
HP,HP Laptop,15.59,8,512,3,10,36757,4.0,1120,2
Lenovo,V15 G4 AMN,15.6,8,512,5,10,31490,4.6,5,2
Lenovo,IdeaPad 1 14IGL7,14.0,8,512,1,10,23990,3.7,252,2
Dell,Inspiron,15.6,8,512,3,10,29990,3.9,59,2
HP,HP Laptop,15.59,16,512,5,10,52990,3.8,259,2
ASUS,Vivobook Go 14,14.0,8,512,3,10,33990,4.0,75,2
Lenovo,Lenovo V15 G4,15.6,16,512,7,10,39899,4.2,46,2
Lenovo,Yoga Slim 7,15.3,32,1024,0,10,147990,5.0,3,2
Lenovo,Yoga Slim 7,15.3,32,1024,0,10,147990,5.0,3,2
Lenovo,IdeaPad,15.6,8,512,3,10,36190,4.0,456,2
Lenovo,ThinkBook 15 G5,15.6,8,512,7,10,49900,3.6,27,2
HP,250R,15.6,8,512,3,1,31350,3.8,12,2
ASUS,TUF Gaming F15,15.6,0,512,7,10,71990,4.0,404,2
HP,HP Laptop 15s-eq2182AU,15.59,0,512,5,10,42990,4.0,841,2
HP,Victus Gaming Laptop,15.59,0,512,5,10,60990,4.1,198,2
Dell,Vostro,15.6,8,512,3,10,34990,3.6,840,2
HP,HP Laptop,15.6,8,512,3,10,37990,3.7,79,2
Lenovo,IdeaPad,14.0,0,512,5,10,53559,3.9,446,2
acer,Aspire Lite,15.6,8,0,3,10,29990,3.9,841,2
Lenovo,ThinkBook 14 G6,14.0,8,0,3,10,43990,4.1,15,2
Chuwi,HeroBook Plus,15.6,8,256,1,10,18990,3.6,3170,2
Lenovo,Lenovo V15 G2 IJL,15.6,8,256,1,10,21990,3.9,435,2
ASUS,Vivobook 15,15.6,16,512,3,10,34980,4.0,127,2
ASUS,Vivobook Go 15 (2023),15.6,0,512,5,10,41990,4.0,114,2
Apple,MacBook Air,13.0,8,256,1,2,67990,4.5,5022,2
ASUS,ASUS Vivobook 16,16.0,16,512,5,10,51990,3.8,50,2
Acer,CB315-4H,15.6,8,0,1,1,18990,3.6,71,2
Lenovo,IdeaPad,15.6,16,512,5,10,37990,3.9,229,2
Lenovo,IdeaPad 3,15.6,8,512,3,10,33860,4.1,1011,2
Lenovo,E14 Gen5,14.0,8,512,3,10,48590,3.7,60,2
Lenovo,IdeaPad Slim,15.0,16,512,7,10,66385,3.9,731,2
TABLE MAGIC,No model name,0.0,0,0,0,0,2803,4.4,537,2
TABLE MAGIC,No model name,0.0,0,0,0,0,2803,4.4,537,2
Lenovo,IdeaPad,14.0,8,0,3,10,34990,4.0,456,2
Lenovo,ThinkBook 15 G5,15.6,8,512,7,10,49900,3.6,27,2
acer,AL15-52,15.6,8,0,3,10,30999,3.9,323,2
Lenovo,Lenovo ThinkPad,14.0,16,256,5,10,0,2.0,2,2
acer,Aspire 3,15.6,8,0,1,10,22990,3.3,218,2
HP,HP Laptop,15.59,16,512,5,10,62990,4.0,502,2
HP,255 G10,15.6,8,512,3,10,26875,2.0,3,2
HP,HP Laptop,15.6,16,512,5,10,55200,3.8,136,2
Lenovo,LOQ,15.6,0,512,7,10,91490,4.1,15,2
HP,HP Victus,15.59,16,1024,7,10,89990,3.7,11,2
Lenovo,IdeaPad,15.0,8,512,3,10,34275,4.0,239,2
Lenovo,Lenovo Thinkpad W530,15.6,8,0,7,10,0,0.0,0,2
HP,HP Pavilion Laptop,14.0,16,1024,7,10,75030,4.0,663,2
HP,HP Pavilion Laptop,14.0,16,0,5,10,63299,4.0,663,2
Dell,Inspiron,15.6,8,512,3,10,38990,3.7,77,2
HP,HP Laptop,15.59,8,512,3,10,35999,4.1,709,2
HP,HP Laptop,15.59,16,1024,5,10,73990,3.3,13,2
Dell,Dell Laptop,15.6,0,1024,3,10,77990,4.0,1015,2
Lenovo,V15 G4 AMN,15.6,8,512,3,10,26980,3.3,14,2
HP,HP EliteBook 840 G3,14.0,8,0,5,10,0,0.0,0,2
Lenovo,E14 Gen 5 AMD,14.0,16,512,5,10,50690,3.7,106,2
Lenovo,IdeaPad 1 14IGL7,14.0,8,512,1,10,23990,3.7,252,2
Lenovo,Yoga Slim 7,15.3,32,1024,0,10,147990,5.0,3,2
Lenovo,Yoga Slim 7,15.3,32,1024,0,10,147990,5.0,3,2
Lenovo,IdeaPad,15.6,8,512,3,10,36190,4.0,456,2
Lenovo,ThinkBook 15 G5,15.6,8,512,7,10,49900,3.6,27,2
ASUS,TUF Gaming,15.6,16,0,7,10,66990,4.0,404,2
ASUS,Vivobook Go 15 (OLED) 2023,15.6,16,512,5,10,48500,4.2,67,2
Dyazo,No model name,0.0,0,0,0,0,399,4.3,12282,2
HP,250,15.6,16,512,3,1,34701,2.9,12,2
HP,HP Victus,15.59,16,1024,7,10,99800,3.5,9,2
Lenovo,IdeaPad 3,14.0,0,512,3,10,35990,4.0,456,2
acer,TMP214-53,14.0,16,0,7,10,41990,3.2,20,2
Lenovo,IdeaPad Slim 5 14ABR8,14.0,16,1024,7,10,64990,4.0,77,2
Lenovo,ThinkBook 14 G6,14.0,8,0,3,10,43990,4.1,15,2
Lenovo,Lenovo Thinkpad W540,15.6,16,0,7,10,0,0.0,0,2
ASUS,ASUS Vivobook 16,16.0,16,512,9,10,94990,3.6,64,2
ASUS,TUF Gaming,17.3,0,512,5,10,53250,3.8,120,2
Lenovo,IdeaPad,14.0,16,512,5,10,49900,3.8,88,2
Lenovo,IdeaPad,14.0,32,1024,9,10,105990,4.2,91,2
ASUS,ASUS Vivobook 16,16.0,16,512,9,10,94990,4.2,36,2
amazon basics,No model name,0.0,0,0,0,0,279,4.1,2315,2
Acer,Aspire Lite,15.6,8,0,3,10,32990,0.0,0,2
Acer,Aspire 3,15.6,16,0,7,10,41990,2.6,3,2
Lenovo,IdeaPad,14.0,32,1024,9,10,105990,4.2,91,2
Lenovo,E14 Gen 5 AMD,14.0,8,512,5,10,47990,4.2,130,2
AROPANA,No model name,0.0,0,0,0,0,599,4.5,1185,2
AROPANA,No model name,0.0,0,0,0,0,599,4.5,1185,2
